dataset,variant,seed,split,threshold,n_clean_images_or_tiles,fp_images,fp_image_rate,false_detections,fppi,max_detections_on_one_clean_image
vnwoodknot,p3_unsharp,42,val,0.85,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,val,0.9,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,val,0.95,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.05,75,2,0.02666666666666667,2,0.02666666666666667,1
vnwoodknot,p3_unsharp,42,test,0.1,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.15,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.2,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.25,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.3,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.35,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.4,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.45,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.5,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.55,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.6,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.65,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.7,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.75,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.8,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.85,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.9,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,42,test,0.95,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.05,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.1,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.15,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.2,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.25,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.3,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.35,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.4,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.45,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.5,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.55,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.6,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.65,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.7,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.75,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.8,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.85,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.9,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,val,0.95,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.05,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.1,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.15,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.2,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.25,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.3,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.35,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.4,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.45,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.5,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.55,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.6,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.65,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.7,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.75,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.8,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.85,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.9,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,43,test,0.95,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.05,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.1,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.15,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.2,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.25,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.3,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.35,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.4,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.45,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.5,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.55,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.6,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.65,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.7,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.75,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.8,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.85,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.9,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,val,0.95,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.05,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p3_unsharp,44,test,0.1,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.15,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.2,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.25,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.3,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.35,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.4,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.45,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.5,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.55,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.6,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.65,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.7,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.75,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.8,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.85,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.9,75,0,0.0,0,0.0,0
vnwoodknot,p3_unsharp,44,test,0.95,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.05,75,2,0.02666666666666667,2,0.02666666666666667,1
vnwoodknot,a1_crop,42,val,0.1,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a1_crop,42,val,0.15,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a1_crop,42,val,0.2,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a1_crop,42,val,0.25,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.3,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.35,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.4,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.45,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.5,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.55,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.6,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.65,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.7,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.75,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.8,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.85,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.9,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,val,0.95,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.05,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.1,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.15,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.2,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.25,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.3,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.35,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.4,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.45,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.5,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.55,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.6,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.65,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.7,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.75,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.8,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.85,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.9,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,42,test,0.95,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.05,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.1,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.15,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.2,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.25,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.3,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.35,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.4,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.45,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.5,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.55,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.6,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.65,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.7,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.75,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.8,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.85,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.9,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,val,0.95,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.05,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a1_crop,43,test,0.1,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.15,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.2,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.25,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.3,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.35,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.4,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.45,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.5,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.55,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.6,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.65,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.7,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.75,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.8,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.85,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.9,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,43,test,0.95,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.05,75,3,0.04,4,0.05333333333333334,2
vnwoodknot,a1_crop,44,val,0.1,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a1_crop,44,val,0.15,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.2,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.25,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.3,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.35,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.4,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.45,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.5,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.55,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.6,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.65,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.7,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.75,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.8,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.85,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.9,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,val,0.95,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,test,0.05,75,2,0.02666666666666667,3,0.04,2
vnwoodknot,a1_crop,44,test,0.1,75,1,0.013333333333333334,2,0.02666666666666667,2
vnwoodknot,a1_crop,44,test,0.15,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a1_crop,44,test,0.2,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a1_crop,44,test,0.25,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a1_crop,44,test,0.3,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a1_crop,44,test,0.35,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a1_crop,44,test,0.4,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a1_crop,44,test,0.45,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,test,0.5,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,test,0.55,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,test,0.6,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,test,0.65,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,test,0.7,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,test,0.75,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,test,0.8,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,test,0.85,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,test,0.9,75,0,0.0,0,0.0,0
vnwoodknot,a1_crop,44,test,0.95,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.05,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.1,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.15,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.2,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.25,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.3,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.35,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.4,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.45,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.5,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.55,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.6,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.65,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.7,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.75,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.8,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.85,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.9,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,val,0.95,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.05,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a2_colorjitter,42,test,0.1,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a2_colorjitter,42,test,0.15,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a2_colorjitter,42,test,0.2,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.25,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.3,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.35,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.4,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.45,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.5,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.55,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.6,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.65,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.7,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.75,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.8,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.85,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.9,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,42,test,0.95,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.05,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.1,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.15,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.2,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.25,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.3,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.35,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.4,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.45,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.5,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.55,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.6,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.65,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.7,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.75,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.8,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.85,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.9,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,val,0.95,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.05,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a2_colorjitter,43,test,0.1,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.15,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.2,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.25,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.3,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.35,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.4,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.45,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.5,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.55,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.6,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.65,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.7,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.75,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.8,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.85,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.9,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,43,test,0.95,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.05,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.1,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.15,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.2,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.25,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.3,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.35,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.4,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.45,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.5,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.55,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.6,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.65,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.7,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.75,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.8,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.85,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.9,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,val,0.95,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.05,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,a2_colorjitter,44,test,0.1,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.15,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.2,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.25,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.3,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.35,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.4,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.45,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.5,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.55,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.6,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.65,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.7,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.75,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.8,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.85,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.9,75,0,0.0,0,0.0,0
vnwoodknot,a2_colorjitter,44,test,0.95,75,0,0.0,0,0.0,0
vnwoodknot,p4_a4_combined,42,val,0.05,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.1,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.15,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.2,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.25,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.3,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.35,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.4,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.45,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.5,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.55,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.6,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.65,75,1,0.013333333333333334,1,0.013333333333333334,1
vnwoodknot,p4_a4_combined,42,val,0.7,75,0,0.0,0,0.0,0
vnwoodknot,p4_a4_combined,42,val,0.75,75,0,0.0,0,0.0,0
vnwoodknot,p4_a4_combined,42,val,0.8,75,0,0.0,0,0.0,0
